,ê∂éYé“,àÍéüè¡îÔé“,ìÒéüè¡îÔé“
312,1.640282,0.558086,0.991519
313,1.398669,0.94241,1.026324
314,1.026578,1.357467,1.295899
315,0.747641,1.295142,1.780381
316,0.838026,0.750561,2.128501
317,1.276507,0.382162,1.96913
318,1.636009,0.280674,1.569233
319,1.74019,0.315319,1.224396
320,1.686341,0.472102,1.022002
321,1.495524,0.798158,0.991811
322,1.154284,1.245682,1.179013
323,0.807874,1.393172,1.61061
324,0.760209,0.936932,2.064301
325,1.116964,0.465311,2.06938
326,1.549182,0.29499,1.702823
327,1.727639,0.291836,1.323543
328,1.718118,0.404712,1.070757
329,1.574924,0.670597,0.980517
330,1.279296,1.102548,1.090221
331,0.902351,1.414709,1.447171
332,0.72965,1.126963,1.944973
333,0.965821,0.584376,2.128113
334,1.430658,0.325917,1.837474
335,1.695772,0.280112,1.436938
336,1.73626,0.353688,1.136862
337,1.637397,0.56324,0.990426
338,1.393019,0.950444,1.028864
339,1.019901,1.362077,1.302912
340,0.745552,1.287984,1.789283
341,0.843456,0.741233,2.130165
342,1.284841,0.378607,1.962945
343,1.63978,0.280307,1.562269
344,1.74039,0.316916,1.21953
345,1.684251,0.476206,1.019903
346,1.49079,0.805493,0.993048
347,1.147436,1.252664,1.184549
348,0.803707,1.389805,1.619663
349,0.763183,0.926618,2.069251
350,1.125472,0.460012,2.06492
351,1.554622,0.293842,1.695588
352,1.728761,0.292789,1.317871
353,1.716767,0.407878,1.067707
354,1.571121,0.676913,0.980568
355,1.272846,1.110595,1.094257
356,0.89661,1.415531,1.455502
357,0.730085,1.117245,1.952463
358,0.973325,0.57704,2.1263
359,1.437757,0.323769,1.830405
360,1.698038,0.280443,1.430554
361,1.735637,0.356036,1.132905
362,1.634468,0.568451,0.98939
363,1.387322,0.958499,1.031476
364,1.013253,1.366524,1.309999
365,0.743584,1.280654,1.798146
366,0.849008,0.73199,2.131647
367,1.293134,0.375134,1.956693
368,1.643468,0.279979,1.555329
369,1.740546,0.318549,1.214709
370,1.682121,0.480364,1.017856
371,1.486006,0.812876,0.994352
372,1.140582,1.259554,1.190166
373,0.79964,1.386217,1.628732
374,0.766293,0.916321,2.074038
375,1.134,0.454816,2.060344
376,1.55997,0.29274,1.688358
377,1.729828,0.293776,1.312241
378,1.715378,0.411091,1.064706
379,1.567269,0.683287,0.98068
380,1.266363,1.118616,1.098372
381,0.890936,1.416136,1.463887
382,0.730652,1.107449,1.959845
383,0.980909,0.569815,2.124325
384,1.444774,0.321683,1.823313
385,1.700235,0.280808,1.424204
386,1.734974,0.358424,1.128996
387,1.631494,0.573721,0.988409
388,1.38158,0.966575,1.034161
389,1.006634,1.370804,1.317161
390,0.741738,1.273155,1.806967
391,0.85468,0.722834,2.132945
392,1.301384,0.371741,1.950378
393,1.647072,0.279687,1.548412
394,1.740658,0.320219,1.209934
395,1.679949,0.484575,1.015861
